student_id,name,class_credits,phone_number,email
B20DCCN123,Nguyễn Hồng Hiếu,D20CNPM06,815220802,honghieu@gmail.com
B20DCCN234,Nguyễn Văn A,D20CNPM06,815225672,vana@gmail.com
B20DCCN267,Nguyễn Văn B,D20CNPM06,815456802,thic@gmail.com
B20DCCN298,Nguyễn Văn C,D20CNPM06,815229872,manhd@gmail.com
B20DCCN300,Nguyễn Văn D,D20CNPM06,815244502,trungk@gmail.com
B20DCCN400,Nguyễn Văn T,D20CNPM06,815244502,trungTk@gmail.com
B20DCCN600,Nguyễn Văn E,D20CNPM06,815244502,trungEk@gmail.com
B20DCCN700,Nguyễn Văn C,D20CNPM06,815244502,trung@gmail.com
B20DCCN800,Nguyễn Văn R,D20CNPM06,815244502,trung11Ekk@gmail.com
B20DCCN900,Nguyễn Văn H,D20CNPM06,815244502,trung22Ekk@gmail.com
